strain	date	genbank	region	country	division	location	host_type	genotype	host	source	latitude	longitude	authors
OR167136|Brazil|Central-West|MT|2023-03-10	2023-03-10	OR167136	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167137|Brazil|Central-West|MT|2023-03-20	2023-03-20	OR167137	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167138|Brazil|Central-West|MS|2023-03-17	2023-03-17	OR167138	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167139|Brazil|Central-West|MT|2023-03-01	2023-03-01	OR167139	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167140|Brazil|Central-West|MT|2023-03-06	2023-03-06	OR167140	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167141|Brazil|Central-West|MT|2023-03-08	2023-03-08	OR167141	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167142|Brazil|Central-West|MT|2023-03-14	2023-03-14	OR167142	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167143|Brazil|Central-West|MT|2023-03-20	2023-03-20	OR167143	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167144|Brazil|Central-West|GO|2023-03-10	2023-03-10	OR167144	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167145|Brazil|Central-West|MS|2023-03-16	2023-03-16	OR167145	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167146|Brazil|Central-West|GO|2023-02-28	2023-02-28	OR167146	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167147|Brazil|Central-West|GO|2023-03-02	2023-03-02	OR167147	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167148|Brazil|Central-West|GO|2023-03-04	2023-03-04	OR167148	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167149|Brazil|Central-West|MS|2023-03-16	2023-03-16	OR167149	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167150|Brazil|Central-West|GO|2023-03-04	2023-03-04	OR167150	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167151|Brazil|Central-West|GO|2023-03-08	2023-03-08	OR167151	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167152|Brazil|Central-West|GO|2023-03-10	2023-03-10	OR167152	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167153|Brazil|Central-West|GO|2023-03-09	2023-03-09	OR167153	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167154|Brazil|Central-West|MS|2023-03-17	2023-03-17	OR167154	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167155|Brazil|Central-West|MT|2023-02-08	2023-02-08	OR167155	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167156|Brazil|Central-West|MT|2023-02-13	2023-02-13	OR167156	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167157|Brazil|Central-West|MT|2023-02-17	2023-02-17	OR167157	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167158|Brazil|Central-West|GO|2023-03-15	2023-03-15	OR167158	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167159|Brazil|Central-West|GO|2023-03-06	2023-03-06	OR167159	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167160|Brazil|Central-West|GO|2023-03-06	2023-03-06	OR167160	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167161|Brazil|Central-West|GO|2023-03-06	2023-03-06	OR167161	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167162|Brazil|Central-West|MT|2023-01-30	2023-01-30	OR167162	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167163|Brazil|Central-West|MT|2023-02-02	2023-02-02	OR167163	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167164|Brazil|Central-West|MT|2023-02-02	2023-02-02	OR167164	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167165|Brazil|Central-West|MT|2023-02-17	2023-02-17	OR167165	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167166|Brazil|Central-West|MT|2023-02-27	2023-02-27	OR167166	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167167|Brazil|Central-West|MT|2023-02-27	2023-02-27	OR167167	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167168|Brazil|Central-West|MS|2023-03-20	2023-03-20	OR167168	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167169|Brazil|Central-West|MS|2023-03-20	2023-03-20	OR167169	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167170|Brazil|Central-West|MS|2023-03-21	2023-03-21	OR167170	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167171|Brazil|Central-West|MS|2023-03-21	2023-03-21	OR167171	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167173|Brazil|Central-West|MS|2023-03-22	2023-03-22	OR167173	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167174|Brazil|Central-West|MS|2023-03-20	2023-03-20	OR167174	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167175|Brazil|Central-West|MS|2023-03-22	2023-03-22	OR167175	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167176|Brazil|Central-West|MS|2023-03-18	2023-03-18	OR167176	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167177|Brazil|Central-West|MS|2023-03-22	2023-03-22	OR167177	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167224|Brazil|Central-West|DF|2023-05-08	2023-05-08	OR167224	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167225|Brazil|Central-West|DF|2023-05-08	2023-05-08	OR167225	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167226|Brazil|Central-West|DF|2023-04-04	2023-04-04	OR167226	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167227|Brazil|Central-West|DF|2023-04-06	2023-04-06	OR167227	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167228|Brazil|Central-West|DF|2023-04-17	2023-04-17	OR167228	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167229|Brazil|Central-West|DF|2023-04-26	2023-04-26	OR167229	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167230|Brazil|Central-West|DF|2023-05-08	2023-05-08	OR167230	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167231|Brazil|Central-West|DF|2023-05-08	2023-05-08	OR167231	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167232|Brazil|Central-West|DF|2023-05-08	2023-05-08	OR167232	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167233|Brazil|Central-West|DF|2023-05-08	2023-05-08	OR167233	Central-West	Brazil	Distrito Federal		Human	V	Homo sapiens	NCBI	-15.7754462	-47.7970891	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167234|Brazil|Central-West|MT|2023-03-29	2023-03-29	OR167234	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167236|Brazil|Central-West|MT|2023-04-24	2023-04-24	OR167236	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167237|Brazil|Central-West|MT|2023-04-28	2023-04-28	OR167237	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167238|Brazil|Central-West|MT|2023-04-28	2023-04-28	OR167238	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167239|Brazil|Central-West|MT|2023-05-03	2023-05-03	OR167239	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167240|Brazil|Central-West|MS|2023	2023	OR167240	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167241|Brazil|Central-West|MT|2023-03-27	2023-03-27	OR167241	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167242|Brazil|Central-West|MT|2023-04-24	2023-04-24	OR167242	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167243|Brazil|Central-West|MT|2023-04-24	2023-04-24	OR167243	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167244|Brazil|Central-West|MT|2023-04-27	2023-04-27	OR167244	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167245|Brazil|Central-West|MT|2023-04-27	2023-04-27	OR167245	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167246|Brazil|Central-West|MT|2023-05-02	2023-05-02	OR167246	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167247|Brazil|Central-West|MT|2023-05-02	2023-05-02	OR167247	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167248|Brazil|Central-West|MT|2023-05-02	2023-05-02	OR167248	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167249|Brazil|Central-West|MT|2023-05-08	2023-05-08	OR167249	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167250|Brazil|Central-West|MT|2023-05-09	2023-05-09	OR167250	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167251|Brazil|Central-West|MT|2023-05-09	2023-05-09	OR167251	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167252|Brazil|Central-West|MT|2023-05-12	2023-05-12	OR167252	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167253|Brazil|Central-West|MT|2023-05-12	2023-05-12	OR167253	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167254|Brazil|Central-West|GO|2023-05-27	2023-05-27	OR167254	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167255|Brazil|Central-West|GO|2023-03-23	2023-03-23	OR167255	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167256|Brazil|Central-West|GO|2023-03-28	2023-03-28	OR167256	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167257|Brazil|Central-West|GO|2023-04-15	2023-04-15	OR167257	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167258|Brazil|Central-West|GO|2023-04-18	2023-04-18	OR167258	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167259|Brazil|Central-West|GO|2023-05-14	2023-05-14	OR167259	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167260|Brazil|Central-West|GO|2023-05-14	2023-05-14	OR167260	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167261|Brazil|Central-West|GO|2023-05-23	2023-05-23	OR167261	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167262|Brazil|Central-West|GO|2023-05-23	2023-05-23	OR167262	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167263|Brazil|Central-West|GO|2023-05-24	2023-05-24	OR167263	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167265|Brazil|Central-West|GO|2023-05-30	2023-05-30	OR167265	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167266|Brazil|Central-West|GO|2023-04-04	2023-04-04	OR167266	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167267|Brazil|Central-West|MT|2023-04-19	2023-04-19	OR167267	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167268|Brazil|Central-West|MT|2023-03-27	2023-03-27	OR167268	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167269|Brazil|Central-West|MT|2023-05-05	2023-05-05	OR167269	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167270|Brazil|Central-West|MT|2023-05-08	2023-05-08	OR167270	Central-West	Brazil	Mato Grosso		Human	V	Homo sapiens	NCBI	-12.2115009	-55.5716547	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167271|Brazil|Central-West|GO|2023-05-08	2023-05-08	OR167271	Central-West	Brazil	Goias		Human	V	Homo sapiens	NCBI	-15.9323662	-50.1392928	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167272|Brazil|Central-West|MS|2023	2023	OR167272	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167273|Brazil|Central-West|MS|2023	2023	OR167273	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167275|Brazil|Central-West|MS|2023	2023	OR167275	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167276|Brazil|Central-West|MS|2023	2023	OR167276	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167277|Brazil|Central-West|MS|2023	2023	OR167277	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167278|Brazil|Central-West|MS|2023	2023	OR167278	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167279|Brazil|Central-West|MS|2023	2023	OR167279	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167280|Brazil|Central-West|MS|2023	2023	OR167280	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167281|Brazil|Central-West|MS|2023	2023	OR167281	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
OR167282|Brazil|Central-West|MS|2023	2023	OR167282	Central-West	Brazil	Mato Grosso do Sul		Human	V	Homo sapiens	NCBI	-20.772230	-54.785153	Mendonca,A.F., Andrade,C.F., Sobreiro,M.B., Almeida,R.M., Silva,V.L., Pereira,L.A.
